Car brand + mode, car price, car mileage
Ford KA, £3,450, 56,000 miles
Peugeot 107, £3,295, 53,392 miles
Volkswagen FOX, £3,850, 52,183 miles
Ford KA, £4,300, 52,000 miles
Nissan Micra, £3,795, 42,000 miles
Ford KA, £3,995, 57,105 miles
Vauxhall Corsa, £3,900, 48,889 miles
Ford KA, £3,895, 58,964 miles
Peugeot 107, £3,990, 51,950 miles
Ford KA, £4,249, 41,947 miles
Peugeot 107, £3,550, 59,960 miles
Toyota Aygo, £4,895, 45,042 miles
Ford KA, £4,495, 51,510 miles
Suzuki Alto, £2,799, 52,000 miles
Suzuki Alto, £3,794, 40,000 miles
Peugeot 107, £3,195, 60,000 miles
Citroen C1, £3,230, 48,000 miles
Toyota Aygo, £3,990, 58,000 miles
Ford KA, £3,995, 50,000 miles
Nissan Micra, £3,499, 60,000 miles
Ford KA, £4,095, 26,162 miles
Vauxhall Corsa, £4,490, 52,278 miles
Vauxhall Corsa, £3,499, 46,844 miles
Vauxhall Corsa, £10,463, 16,344 miles
SKODA Fabia, £4,195, 59,599 miles
Peugeot 107, £3,395, 48,837 miles
Ford KA, £4,395, 48,704 miles
Citroen C1, £3,289, 48,000 miles
Suzuki Alto, £3,302, 58,000 miles
Ford KA, £3,985, 52,703 miles
KIA Picanto, £4,490, 60,000 miles
Fiat 500, £3,995, 50,846 miles
Ford KA, £3,995, 55,450 miles
Suzuki Alto, £3,750, 51,000 miles
SKODA Fabia, £4,285, 38,689 miles
KIA RIO, £7,100, 58,957 miles
Peugeot 107, £4,250, 50,893 miles
Ford KA, £3,990, 60,000 miles
Peugeot 107, £2,995, 57,200 miles
Fiat 500, £4,450, 59,495 miles
Volkswagen FOX, £3,499, 60,000 miles
Toyota Aygo, £2,850, 51,465 miles
Vauxhall Corsa, £4,000, 55,183 miles
Vauxhall Corsa, £4,400, 51,000 miles
Vauxhall Corsa, £4,275, 39,650 miles
Ford KA, £4,295, 46,000 miles
Peugeot 107, £3,200, 51,546 miles
SEAT Ibiza, £8,999, 53,138 miles
Ford KA, £4,000, 42,875 miles
Ford KA, £3,995, 51,628 miles
Ford KA, £3,495, 59,854 miles
Ford KA, £4,495, 37,000 miles
Peugeot 107, £4,094, 55,435 miles
Toyota Aygo, £4,499, 59,000 miles
Citroen C1, £3,850, 45,951 miles
Peugeot 107, £4,500, 43,000 miles
Toyota Aygo, £4,500, 52,137 miles
Citroen C1 HATCHBACK, £3,895, 47,527 miles
Ford KA, £4,400, 52,075 miles
Volkswagen Polo, £13,499, 43,392 miles
Peugeot 107, £4,490, 41,000 miles
Citroen C1, £3,850, 40,000 miles
Peugeot 107, £3,695, 54,213 miles
Citroen C1, £4,450, 31,500 miles
Nissan Pixo, £4,295, 14,579 miles
Citroen C1, £3,950, 60,000 miles
Toyota Aygo, £4,389, 60,000 miles
Ford KA, £3,795, 55,139 miles
KIA Picanto, £4,300, 33,000 miles
Citroen C1, £3,895, 31,000 miles
Suzuki Alto, £2,500, 48,000 miles
Toyota Yaris, £9,500, 40,522 miles
Vauxhall Corsa, £4,490, 35,706 miles
Peugeot 107, £3,990, 48,500 miles
Ford KA, £4,500, 48,017 miles
Nissan Pixo, £3,695, 39,000 miles
Citroen C1, £3,175, 44,000 miles
Toyota Aygo, £4,295, 32,876 miles
Nissan Micra, £3,495, 53,000 miles
Nissan Micra, £4,495, 41,000 miles
Citroen C1, £4,450, 49,587 miles
Ford KA, £3,895, 55,374 miles
Vauxhall Corsa, £3,499, 46,844 miles
Volkswagen Polo, £13,499, 43,392 miles
KIA Picanto, £3,990, 53,600 miles
Citroen C1, £4,250, 35,770 miles
Fiat 500, £3,994, 54,500 miles
Citroen C1, £4,295, 37,800 miles
Citroen C1, £3,995, 29,879 miles
Peugeot 107, £4,400, 48,340 miles
Nissan Micra, £3,450, 53,000 miles
Ford KA, £4,445, 43,000 miles
Peugeot 107, £4,499, 48,357 miles
Vauxhall Corsa, £4,090, 44,000 miles
Peugeot 107, £3,550, 59,960 miles
Vauxhall Corsa, £10,250, 14,837 miles
Ford KA, £4,195, 55,817 miles
Ford KA, £3,995, 58,000 miles
Ford KA, £4,295, 58,952 miles
Peugeot 107, £3,990, 52,000 miles
Ford KA, £4,499, 53,091 miles
Fiat Panda, £2,795, 52,680 miles
Fiat 500, £4,295, 46,881 miles
Peugeot 107, £2,495, 52,000 miles
Suzuki Alto, £2,999, 45,000 miles
Chevrolet Spark, £3,690, 31,650 miles
Suzuki Alto, £2,500, 48,000 miles
Toyota Aygo, £4,895, 45,042 miles
Fiat 500, £4,295, 58,805 miles
Suzuki Alto, £3,395, 45,000 miles
Chevrolet Spark, £3,695, 35,000 miles
Citroen C1, £3,995, 54,000 miles
Toyota Aygo, £3,195, 53,000 miles
Vauxhall Corsa, £3,695, 57,000 miles
Citroen C1, £4,290, 42,979 miles
Citroen C1, £3,495, 60,000 miles
Peugeot 208, £4,495, 56,000 miles
KIA Picanto, £4,500, 53,927 miles
SKODA Fabia, £4,285, 38,689 miles
SEAT Ibiza, £8,999, 53,138 miles
Peugeot 107, £3,850, 40,000 miles
Vauxhall Agila, £2,540, 37,000 miles
Volkswagen UP!, £4,395, 60,000 miles
